,Incident Name,County,Administrative Unit,Acres Burned,Crews Involved,Dozers,Engines,Fatalities,Helicopters,Injuries,Personnel Involved,Structures Damaged,Structures Destroyed,Structures Threatened,Water Tenders,Fire Started,Fire Extinguished,Longitude,Latitude,Incident ID
0,River Fire,Inyo,CAL FIRE San Bernardino Unit,407.0,25.0,25.0,25.0,0.0,0.0,2.0,476.0,0.0,0.0,0.0,25.0,2013-02-24T08:16:00Z,2013-02-28T20:00:00Z,-118.01651,36.602575,094719ba-a47b-4abb-9ec5-a506b2b9fd23
1,Fawnskin Fire,San Bernardino,San Bernardino National Forest,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-04-20T17:30:00Z,2013-04-22T09:00:00Z,-116.941311,34.288877,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f
2,Gold Fire,Madera,CAL FIRE Madera-Mariposa-Merced Unit,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-04-30T12:59:00Z,2013-05-01T07:00:00Z,-119.635004,37.116295,357ffc13-bef9-48eb-810f-c5de851972eb
3,Silverado Fire,Napa,CAL FIRE Sonoma-Lake-Napa Unit,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-04-30T23:44:00Z,2013-05-01T17:15:00Z,-122.350844,38.441792,d8d1c943-7b5d-4885-9043-f41075d6eded
4,Yellow Fire,Sonoma,CAL FIRE Sonoma-Lake-Napa Unit,125.0,9.0,5.0,17.0,0.0,5.0,0.0,249.0,0.0,0.0,0.0,5.0,2013-05-01T02:01:00Z,2013-05-03T06:15:00Z,-122.655616,38.638828,64e4f81e-d872-44c4-ba8d-111fa77124ba
5,Panther Fire,Tehama,CAL FIRE Butte Unit,6896.0,53.0,22.0,131.0,0.0,6.0,6.0,1811.0,0.0,0.0,0.0,40.0,2013-05-01T09:12:00Z,2013-05-09T09:00:00Z,-121.595555,40.190062,53122f0f-fefc-4dbf-b2d8-566b42ced66d
6,Summit Fire,Riverside,CAL FIRE/Riverside County Fire ,2956.0,36.0,5.0,62.0,0.0,5.0,2.0,726.0,0.0,1.0,0.0,7.0,2013-05-01T12:38:00Z,2013-05-04T18:30:00Z,-116.941311,34.288877,a1b14be5-a8cf-4e40-8588-96becf4c5879
7,306 Fire,Glenn,CAL FIRE Tehama-Glenn Unit,217.0,11.0,5.0,6.0,0.0,5.0,0.0,221.0,0.0,0.0,0.0,5.0,2013-05-01T19:00:00Z,2013-05-05T18:00:00Z,-122.560862,39.514139,5649e78d-7c26-4698-89a0-b0fa9a35cf78
8,Tres Pinos Fire,San Benito,CAL FIRE San Benito-Monterey ,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-03T11:42:00Z,2013-05-03T18:45:00Z,-120.937494,37.160346,ca68f3c4-4906-4952-b794-4531d7da8369
9,Gorgonio Fire,Riverside,CAL FIRE/Riverside County Fire,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-04T11:43:00Z,2013-05-05T18:45:00Z,-116.855019,33.894055,958ce6d2-97f9-4848-8620-d14ab87f329d
10,Lytle Fire,San Bernardino,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",75.0,13.0,0.0,21.0,0.0,0.0,1.0,292.0,0.0,1.0,0.0,13.0,2013-05-13T13:30:00Z,2013-05-15T08:15:00Z,-117.4408,34.1834,e2c4b308-9a2d-483b-8434-999bef9adc7c
11,Grand Fire,"Kern, Ventura",CAL FIRE / USFS Los Padres National Forest,4346.0,29.0,1.0,34.0,0.0,1.0,4.0,847.0,0.0,0.0,0.0,12.0,2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,-118.9411,34.7861,e0d038e9-0926-4c05-8317-ec7075a04b12
12,54 Fire,Riverside,CAL FIRE Riverside Unit,40.0,0.0,1.0,19.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,2013-05-16T13:48:00Z,2013-05-17T08:30:00Z,-116.161201,33.655638,e215290f-d0b4-48fd-be32-f599959347b1
13,Lake Fire,Los Angeles,CAL FIRE/Los Angeles County ,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-05-17T13:23:00Z,2013-05-18T19:00:00Z,-118.610044,34.49149,39af7eac-c188-411f-8c8a-d165c5fca4a9
14,Lilly 2 Fire,Madera,CAL FIRE Madera-Mariposa-Merced Unit,91.0,6.0,2.0,24.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2013-05-19T15:07:00Z,2013-05-20T19:10:00Z,-119.7917,37.1927,2b765a08-c770-4b19-baa8-00dffe3fa838
